city,cityLabel,country,countryLabel,population
http://www.wikidata.org/entity/Q8673,Lagos,http://www.wikidata.org/entity/Q1033,Nigeria,15070000
http://www.wikidata.org/entity/Q8660,  Karachi ,http://www.wikidata.org/entity/Q843,Pakistan,14910352
http://www.wikidata.org/entity/Q8660,KARACHI,http://www.wikidata.org/entity/Q843,Pakistan,14910352
http://www.wikidata.org/entity/Q8660,karachi,http://www.wikidata.org/entity/Q843,Pakistan,14910352
http://www.wikidata.org/entity/Q8660,Karachi,http://www.wikidata.org/entity/Q843,Pakistan,14910352
http://www.wikidata.org/entity/Q8660,Karachi,http://www.wikidata.org/entity/Q843,Pakistan,14910352
http://www.wikidata.org/entity/Q3838,Kinshasa,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,
http://www.wikidata.org/entity/Q3838,  Kinshasa ,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,14565700
http://www.wikidata.org/entity/Q3838,Kinshasa,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,14565700
http://www.wikidata.org/entity/Q3838,Kinshasa,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,14565700
http://www.wikidata.org/entity/Q3838,Kinshasa,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,14565700
http://www.wikidata.org/entity/Q1490,Tokyo.,http://www.wikidata.org/entity/Q17,Japan,14264798
http://www.wikidata.org/entity/Q1490,Tokyo,http://www.wikidata.org/entity/Q17,Japan,14264798
http://www.wikidata.org/entity/Q1490,  Tokyo ,http://www.wikidata.org/entity/Q17,Japan,14264798
http://www.wikidata.org/entity/Q1490,TOKYO,http://www.wikidata.org/entity/Q17,Japan,14264798
http://www.wikidata.org/entity/Q1490,tokyo,http://www.wikidata.org/entity/Q17,Japan,14264798
http://www.wikidata.org/entity/Q1490,Tokyo,http://www.wikidata.org/entity/Q17,Japan,14264798
http://www.wikidata.org/entity/Q1490,Tokyo,http://www.wikidata.org/entity/Q17,Japan,14264798
http://www.wikidata.org/entity/Q1490,Tokyo,http://www.wikidata.org/entity/Q17,Japan,14264798
http://www.wikidata.org/entity/Q1854,  Ho Chi Minh City ,http://www.wikidata.org/entity/Q881,Vietnam,14002598
http://www.wikidata.org/entity/Q1854,Ho Chi Minh City,http://www.wikidata.org/entity/Q881, Vietnam ,14002598
http://www.wikidata.org/entity/Q1854,Ho Chi Minh City,http://www.wikidata.org/entity/Q881,Vietnam,14002598
http://www.wikidata.org/entity/Q1854,Ho  Chi  Minh  City,http://www.wikidata.org/entity/Q881,Vietnam,14002598
http://www.wikidata.org/entity/Q1854,Ho Chi Minh City.,http://www.wikidata.org/entity/Q881,Vietnam,14002598
